feature,level,n,rate_y1,overall_rate_y1,lift_vs_overall,cramers_v,chi2,p_value,n_levels_used
1st_aleks_math_score_grouping,83-89,308,1.0,1.0,1.0,0.0,,,8
1st_aleks_math_score_grouping,90-100,269,1.0,1.0,1.0,0.0,,,8
1st_aleks_math_score_grouping,76-82,214,1.0,1.0,1.0,0.0,,,8
1st_aleks_math_score_grouping,61-75,110,1.0,1.0,1.0,0.0,,,8
1st_aleks_math_score_grouping,46-60,42,1.0,1.0,1.0,0.0,,,8
1st_aleks_math_score_grouping,missing,6,1.0,1.0,1.0,0.0,,,8
1st_aleks_math_score_grouping,30-45,5,1.0,1.0,1.0,0.0,,,8
1st_aleks_math_score_grouping,N/A (101),2,1.0,1.0,1.0,0.0,,,8
1st_math_course,MATH 140,454,1.0,1.0,1.0,0.0,,,9
1st_math_course,MATH 141,165,1.0,1.0,1.0,0.0,,,9
1st_math_course,MATH 140E,89,1.0,1.0,1.0,0.0,,,9
1st_math_course,other,81,1.0,1.0,1.0,0.0,,,9
1st_math_course,MATH 251,73,1.0,1.0,1.0,0.0,,,9
1st_math_course,MATH 10,35,1.0,1.0,1.0,0.0,,,9
1st_math_course,MATH 41,24,1.0,1.0,1.0,0.0,,,9
1st_math_course,MATH 220,21,1.0,1.0,1.0,0.0,,,9
1st_math_course,MATH 26,14,1.0,1.0,1.0,0.0,,,9
1st_math_course_campus,UP,677,1.0,1.0,1.0,0.0,,,9
1st_math_course_campus,other,84,1.0,1.0,1.0,0.0,,,9
1st_math_course_campus,HB,52,1.0,1.0,1.0,0.0,,,9
1st_math_course_campus,AB,31,1.0,1.0,1.0,0.0,,,9
1st_math_course_campus,ER,27,1.0,1.0,1.0,0.0,,,9
1st_math_course_campus,AL,26,1.0,1.0,1.0,0.0,,,9
1st_math_course_campus,LV,23,1.0,1.0,1.0,0.0,,,9
1st_math_course_campus,BK,20,1.0,1.0,1.0,0.0,,,9
1st_math_course_campus,BW,16,1.0,1.0,1.0,0.0,,,9
chem_110__grade_code__1st_fa_or_sp,A,251,1.0,1.0,1.0,0.0,,,9
chem_110__grade_code__1st_fa_or_sp,B,198,1.0,1.0,1.0,0.0,,,9
