feature,n,missing_rate,mean_y0,mean_y1,std_y0,std_y1,cohens_d,pearson_r,auc_rank
cgpa_at_etm_to_any_campus,955,0.0010460251046024993,,3.5540732984293193,,0.27260036497095075,,,
highest_cgpa_during_credit_window,956,0.0,,3.5711924686192473,,0.2634969039939997,,,
peak_minus_etm,955,0.0010460251046024993,,0.017308900523560204,,0.04869990975356953,,,
graduating_cgpa,943,0.013598326359832602,,3.569724284199364,,0.27005686338756546,,,
cgpa_gap,943,0.013598326359832602,,0.014199363732767763,,0.1732779100094968,,,
dif_btw_max_and_min_term_gpa,956,0.0,,0.8994456066945608,,0.5865876171897635,,,
low_gpa_term_rate_2_5,956,0.0,,0.024577035586449813,,0.06613321336719272,,,
low_gpa_term_rate_3_0,956,0.0,,0.09129051155724796,,0.1419335333606432,,,
mean_term_gpa,956,0.0,,3.498331541396464,,0.31654504990480486,,,
median_term_gpa,956,0.0,,3.5590324267782427,,0.31037830319466575,,,
std_term_gpa,956,0.0,,0.36510671812421175,,0.2270134616992077,,,
min_term_gpa,956,0.0,,2.7972280334728032,,0.7570523952132495,,,
max_term_gpa,956,0.0,,3.933786610878661,,0.12844088202968967,,,
first_term_gpa,956,0.0,,3.496495815899581,,0.4030233399543009,,,
last_term_gpa,956,0.0,,3.6203974895397493,,0.5174885475162179,,,
gpa_trend_slope,956,0.0,,0.008023070469464828,,0.04996285798131842,,,
first_two_regular_mean_gpa,956,0.0,,3.516663179916318,,0.316093888139745,,,
summer_term_ratio,956,0.0,,0.14461846027191833,,0.09438608023083571,,,
