random_id,credit_window,credit_window_label,first_term_label,me_bs_degree_status,me_bs_degree_status_clean,me_bs_degree_status_is_missing,me_degree_status_bucket,has_me_bs_degree,has_any_bachelor_degree,outcome_graduated_me,outcome_any_bachelor,outcome_status_known,cgpa_at_etm_to_any_campus,highest_cgpa_during_credit_window,peak_minus_etm,graduating_cgpa,cgpa_gap,dif_btw_max_and_min_term_gpa,warnings_per_term,low_gpa_term_rate_2_5,low_gpa_term_rate_3_0,grade_forgiveness_used,multi_repeat_flag,with_math_ap,sat_verb_grouping,1st_aleks_math_score_grouping,1st_math_course,1st_math_course_campus,etm_total_attempts_to_abc,etm_first_attempt_pass_count,etm_never_passed_count,etm_first_grade_dfw_count,terms_with_gpa,mean_term_gpa,median_term_gpa,std_term_gpa,min_term_gpa,max_term_gpa,first_term_gpa,last_term_gpa,n_summer_terms,n_regular_terms,low_gpa_terms_2_5,low_gpa_terms_3_0,gpa_trend_slope,first_two_regular_mean_gpa,summer_term_ratio,chem_110_outcome_after_1st_fa,edsgn_100_outcome_after_1st_fa,math_140_outcome_after_1st_fa,math_141_outcome_after_1st_fa,phys_211_outcome_after_1st_fa,chem_110_outcome_after_1st_ay,edsgn_100_outcome_after_1st_ay,math_140_outcome_after_1st_ay,math_141_outcome_after_1st_ay,phys_211_outcome_after_1st_ay,chem_110_outcome_after_2nd_ay,edsgn_100_outcome_after_2nd_ay,math_140_outcome_after_2nd_ay,math_141_outcome_after_2nd_ay,phys_211_outcome_after_2nd_ay,chem_110_outcome,edsgn_100_outcome,math_140_outcome,math_141_outcome,phys_211_outcome,chem_110__grade_code__1st_fa_or_sp,edsgn_100__grade_code__1st_fa_or_sp,math_140__grade_code__1st_fa_or_sp,math_141__grade_code__1st_fa_or_sp,phys_211__grade_code__1st_fa_or_sp,chem_110_attempts_to_abc,chem_110_pass_by_first_attempt,chem_110_ever_passed,chem_110_first_grade_dfw,chem_110_total_attempts,chem_110_outcome_label,edsgn_100_attempts_to_abc,edsgn_100_pass_by_first_attempt,edsgn_100_ever_passed,edsgn_100_first_grade_dfw,edsgn_100_total_attempts,edsgn_100_outcome_label,math_140_attempts_to_abc,math_140_pass_by_first_attempt,math_140_ever_passed,math_140_first_grade_dfw,math_140_total_attempts,math_140_outcome_label,math_141_attempts_to_abc,math_141_pass_by_first_attempt,math_141_ever_passed,math_141_first_grade_dfw,math_141_total_attempts,math_141_outcome_label,phys_211_attempts_to_abc,phys_211_pass_by_first_attempt,phys_211_ever_passed,phys_211_first_grade_dfw,phys_211_total_attempts,phys_211_outcome_label
S-00998,40-59,40-59,Fall 2017,ME_BS Degree Only,ME_BS DEGREE ONLY,0,me_bs_only,1,1,1,1,1,3.87,3.87,0.0,3.57,-0.3000000000000002,1.2800000000000002,0.0,0.0,0.2222222222222222,0,0,No,590-640,76-82,MATH 140,GA,5.0,5,0,0,9,3.5533333333333332,3.77,0.48859492424707,2.67,3.95,3.94,2.67,1,8,0,2,-0.0451612903225806,3.855,0.1111111111111111,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,Never Enrolled,Never Enrolled,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,Pass on 1st attempt,Pass on 1st attempt,Pass on 1st attempt,Pass on 1st attempt,Pass on 1st attempt,A-,A,A,Not Enrolled,Not Enrolled,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt
S-00997,40-59,40-59,Fall 2020,ME_BS Degree Only,ME_BS DEGREE ONLY,0,me_bs_only,1,1,1,1,1,3.98,3.98,0.0,3.98,0.0,0.06,0.0,0.0,0.0,0,0,Yes,≥690,90-100,MATH 141,UP,4.0,4,1,0,10,3.88,3.935,0.1469693845669907,3.6,4.0,3.93,4.0,2,8,0,0,0.02007992007992,3.79,0.2,1st Attempt=ABC,1st Attempt=ABC,Never Enrolled,1st Attempt=ABC,Never Enrolled,1st Attempt=ABC,1st Attempt=ABC,Never Enrolled,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,Never Enrolled,1st Attempt=ABC,1st Attempt=ABC,Pass on 1st attempt,Pass on 1st attempt,Never enrolled,Pass on 1st attempt,Pass on 1st attempt,A,A,Not Enrolled,A,Not Enrolled,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt,,0,0,0,0,Never enrolled,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt
S-00996,40-59,40-59,Fall 2017,ME_BS Degree Only,ME_BS DEGREE ONLY,0,me_bs_only,1,1,1,1,1,3.32,3.32,0.0,3.15,-0.1699999999999999,0.54,0.0,0.0,0.25,0,0,No,590-640,46-60,MATH 10,HN,6.0,4,0,0,9,3.5077777777777777,3.87,1.066041483453831,0.69,4.0,3.63,3.78,0,9,1,1,0.0627459016393442,3.65,0.0,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,Never Enrolled,Never Enrolled,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,Only 1 Attempt=DFW,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,Only 1 Attempt=DFW,1st Attempt=ABC,Pass on 1st attempt,Pass on 1st attempt,Pass on 1st attempt,No pass after 1 attempt,Pass on 1st attempt,B,A,C,Not Enrolled,Not Enrolled,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt,2.0,0,1,0,2,Pass on 2nd attempt,1.0,1,1,0,1,Pass on 1st attempt
S-00995,40-59,40-59,Fall 2016,ME_BS Degree Only,ME_BS DEGREE ONLY,0,me_bs_only,1,1,1,1,1,3.69,3.69,0.0,3.37,-0.3199999999999998,1.86,0.0,0.1,0.2,0,0,Yes,,61-75,MATH 220,AB,3.0,3,2,0,8,3.145,3.155,0.1911618611095244,2.85,3.39,3.31,3.19,0,8,0,2,-0.0358695652173913,3.35,0.0,1st Attempt=ABC,1st Attempt=ABC,Never Enrolled,Never Enrolled,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,Never Enrolled,Never Enrolled,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,Never Enrolled,Never Enrolled,1st Attempt=ABC,Pass on 1st attempt,Pass on 1st attempt,Never enrolled,Never enrolled,Pass on 1st attempt,B-,B,Not Enrolled,Not Enrolled,A,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt,,0,0,0,0,Never enrolled,,0,0,0,0,Never enrolled,1.0,1,1,0,1,Pass on 1st attempt
S-00994,40-59,40-59,Fall 2019,ME_BS Degree Only,ME_BS DEGREE ONLY,0,me_bs_only,1,1,1,1,1,3.05,3.05,0.0,3.32,0.27,1.67,0.0909090909090909,0.2727272727272727,0.2727272727272727,1,1,No,≥690,76-82,MATH 140,UP,5.0,3,1,0,10,3.244,3.35,0.554099870661117,2.0,3.86,3.46,2.0,1,9,1,2,-0.0999999999999999,3.61,0.1,1st Attempt=ABC,Never Enrolled,Only 1 Attempt=DFW,Never Enrolled,Never Enrolled,1st Attempt=ABC,1st Attempt=ABC,"2 Attempts (1st=DFW, 2nd=ABC)",Never Enrolled,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,"2 Attempts (1st=DFW, 2nd=ABC)",Never Enrolled,1st Attempt=ABC,Pass on 1st attempt,Pass on 1st attempt,Pass on 2nd attempt,Never enrolled,Pass on 1st attempt,C,Not Enrolled,D,Not Enrolled,Not Enrolled,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt,2.0,0,1,0,2,Pass on 2nd attempt,,0,0,0,0,Never enrolled,1.0,1,1,0,1,Pass on 1st attempt
S-00993,40-59,40-59,Fall 2019,ME_BS Degree Only,ME_BS DEGREE ONLY,0,me_bs_only,1,1,1,1,1,3.17,3.21,0.04,3.35,0.1800000000000001,1.52,0.0,0.1,0.3,0,0,No,640-690,83-89,MATH 140,UP,5.0,5,0,0,11,3.313636363636364,3.67,0.6493423246219628,2.33,4.0,2.33,3.89,1,10,3,3,0.0787044334975369,3.0,0.0909090909090909,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,Never Enrolled,Never Enrolled,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,Pass on 1st attempt,Pass on 1st attempt,Pass on 1st attempt,Pass on 1st attempt,Pass on 1st attempt,B+,Not Enrolled,A,Not Enrolled,Not Enrolled,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt
S-00992,40-59,40-59,Fall 2016,ME_BS Degree Only,ME_BS DEGREE ONLY,0,me_bs_only,1,1,1,1,1,3.54,3.73,0.1899999999999999,3.62,0.08,0.9500000000000002,0.0,0.0,0.0,1,0,No,<590,90-100,MATH 10,BW,5.0,5,0,0,12,3.125833333333333,3.09,0.5765801739304752,2.1,4.0,3.92,4.0,1,11,2,4,0.0157908847184986,3.5700000000000003,0.0833333333333333,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,Never Enrolled,Never Enrolled,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,Pass on 1st attempt,Pass on 1st attempt,Pass on 1st attempt,Pass on 1st attempt,Pass on 1st attempt,A,A,A,Not Enrolled,Not Enrolled,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt
S-00991,40-59,40-59,Summer 2017,ME_BS Degree Only,ME_BS DEGREE ONLY,0,me_bs_only,1,1,1,1,1,3.88,3.88,0.0,3.86,-0.02,0.5499999999999998,0.0,0.0,0.0,0,0,Yes,≥690,90-100,MATH 230,UP,3.0,3,2,0,13,3.6984615384615385,3.64,0.3050914112700803,3.05,4.0,4.0,4.0,3,10,0,0,-0.0190239341810022,4.0,0.2307692307692307,1st Attempt=ABC,Never Enrolled,Never Enrolled,Never Enrolled,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,Never Enrolled,Never Enrolled,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,Never Enrolled,Never Enrolled,1st Attempt=ABC,Pass on 1st attempt,Pass on 1st attempt,Never enrolled,Never enrolled,Pass on 1st attempt,A,Not Enrolled,Not Enrolled,Not Enrolled,A,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt,,0,0,0,0,Never enrolled,,0,0,0,0,Never enrolled,1.0,1,1,0,1,Pass on 1st attempt
S-00990,29-55,29-55,Summer 2018,,,1,missing_or_blank,0,0,0,0,0,3.0,3.0,0.0,,,1.6800000000000002,0.0,0.0833333333333333,0.3333333333333333,0,1,No,<590,90-100,MATH 140,UP,6.0,2,1,0,14,3.3021428571428575,3.33,0.4193067276685789,2.6,4.0,4.0,3.52,4,10,0,3,-0.0385274725274725,4.0,0.2857142857142857,1st Attempt=ABC,Never Enrolled,Only 1 Attempt=DFW,Never Enrolled,Never Enrolled,1st Attempt=ABC,1st Attempt=ABC,"2 Attempts (1st=DFW, 2nd=ABC)",Never Enrolled,Only 1 Attempt=DFW,1st Attempt=ABC,1st Attempt=ABC,"2 Attempts (1st=DFW, 2nd=ABC)",Never Enrolled,Only 1 Attempt=DFW,Pass on 1st attempt,Pass on 1st attempt,Pass on 2nd attempt,Never enrolled,No pass after 1 attempt,SAT,Not Enrolled,LD,Not Enrolled,Not Enrolled,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt,2.0,0,1,0,2,Pass on 2nd attempt,,0,0,0,0,Never enrolled,2.0,0,1,0,2,Pass on 2nd attempt
S-00989,29-55,29-55,Fall 2020,,,1,missing_or_blank,0,0,0,0,0,,3.34,,,,1.02,0.0,0.0,0.3333333333333333,0,0,No,,N/A (101),MATH 140,UP,5.0,5,0,0,12,3.2550000000000003,3.285,0.5464180883469428,2.32,4.0,3.24,3.33,2,10,1,4,0.0451336898395721,3.095,0.1666666666666666,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,Never Enrolled,Never Enrolled,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,Pass on 1st attempt,Pass on 1st attempt,Pass on 1st attempt,Pass on 1st attempt,Pass on 1st attempt,B,Not Enrolled,B,Not Enrolled,Not Enrolled,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt
